strategy,seed,shell_compromise_rate,core_breached,recovery_downtime,compromise_exposure_cost,total_operational_cost,recovery_count,mean_collapse_index,reinfections,mean_gluing_inconsistency
static,20260722,0.98,0,0.0,62.72000000000004,62.72000000000004,0,0.6865523599751898,0,0.016674173266433605
single_rollback,20260722,0.27625,1,95.0,17.680000000000007,212.68,38,0.4093491478683813,37,0.26374881152634755
random_e8,20260722,0.3025,0,67.5,19.359999999999992,86.85999999999999,27,0.36359081221756,26,0.2772817599614745
ghost_e8,20260722,0.345,1,52.5,22.08,174.57999999999998,21,0.314828476814084,20,0.2738202824138778
ghost_d8,20260722,0.33,0,55.0,21.11999999999999,76.11999999999999,22,0.3200355571295331,20,0.2657125695086149
ghost_random,20260722,0.3275,0,50.0,20.959999999999994,70.96,20,0.3093890244278317,17,0.25880163732752437
static,20260823,0.98375,1,0.0,62.96000000000004,162.96000000000004,0,0.6939421617134239,0,0.017151081364781086
single_rollback,20260823,0.29125,1,105.0,18.639999999999997,223.64,42,0.42574606486806377,41,0.2768368421535296
random_e8,20260823,0.27875,0,60.0,17.840000000000003,77.84,24,0.35366959691422506,22,0.2622702455379763
ghost_e8,20260823,0.3375,1,45.0,21.59999999999999,166.6,18,0.32910387939627817,15,0.2808557258736239
ghost_d8,20260823,0.29375,1,40.0,18.800000000000004,158.8,16,0.3016325791090693,13,0.25062772350526
ghost_random,20260823,0.295,0,42.5,18.88,61.379999999999995,17,0.29286015748782107,14,0.243542446879856
static,20260924,0.98625,1,0.0,63.12000000000005,163.12000000000006,0,0.6945546577421494,0,0.016744496105021822
single_rollback,20260924,0.285,0,107.5,18.24,125.74,43,0.42452330573899283,42,0.28394719157008175
random_e8,20260924,0.2625,0,60.0,16.800000000000008,76.80000000000001,24,0.310632760715032,23,0.22259356858705556
ghost_e8,20260924,0.31625,0,45.0,20.239999999999995,65.24,18,0.30898877201849556,15,0.25547092580712283
ghost_d8,20260924,0.32625,1,47.5,20.88,168.38,19,0.3214375965054305,16,0.2640742494206393
ghost_random,20260924,0.35,1,57.5,22.39999999999999,179.89999999999998,23,0.3322885030738483,22,0.28033524434797275
static,20261025,0.98,1,0.0,62.72000000000004,162.72000000000003,0,0.6906179233101989,0,0.020251835302680744
single_rollback,20261025,0.30875,1,125.0,19.75999999999999,244.76,50,0.4334272155050713,49,0.2814567537369717
random_e8,20261025,0.3125,0,70.0,19.999999999999996,90.0,28,0.37544203784566965,27,0.2738657449374085
ghost_e8,20261025,0.3275,1,50.0,20.959999999999987,170.95999999999998,20,0.32107018769600265,18,0.2696240530947931
ghost_d8,20261025,0.32,1,55.0,20.479999999999997,175.48,22,0.31662737431723753,21,0.2510013596935834
ghost_random,20261025,0.32625,0,47.5,20.879999999999985,68.37999999999998,19,0.30388485766278117,17,0.2552864933737934
static,20261126,0.9875,1,0.0,63.200000000000045,163.20000000000005,0,0.6926984657469965,0,0.009798051872953349
single_rollback,20261126,0.28875,0,110.0,18.479999999999997,128.48,44,0.419786090758342,43,0.26556875333757896
random_e8,20261126,0.28625,0,55.0,18.319999999999993,73.32,22,0.35800803411863413,20,0.26874546252833864
ghost_e8,20261126,0.3025,1,50.0,19.36,169.36,20,0.3016438615789249,19,0.26115106832658125
ghost_d8,20261126,0.29,1,45.0,18.559999999999988,163.56,18,0.3030395289813461,17,0.25412978402600395
ghost_random,20261126,0.3325,1,45.0,21.279999999999994,166.28,18,0.318803630116119,16,0.27141342056008133
static,20261227,0.97375,1,0.0,62.32000000000004,162.32000000000005,0,0.6895448194040559,0,0.01778130533737927
single_rollback,20261227,0.30375,0,112.5,19.43999999999999,131.94,45,0.4324837761513111,44,0.27651455802196806
random_e8,20261227,0.2975,0,65.0,19.040000000000003,84.04,26,0.3661007739417999,24,0.27588720263665356
ghost_e8,20261227,0.3525,1,52.5,22.559999999999995,175.06,21,0.33328304494804967,20,0.28589762894269144
ghost_d8,20261227,0.315,1,50.0,20.159999999999997,170.16,20,0.3208314609770014,19,0.2698590121880388
ghost_random,20261227,0.34375,0,52.5,21.99999999999999,74.49999999999999,21,0.32854718161689866,20,0.2753007093944068
static,20261328,0.98625,1,0.0,63.12000000000005,163.12000000000006,0,0.691589333034119,0,0.020548534855618483
single_rollback,20261328,0.31125,1,117.5,19.91999999999999,237.42,47,0.4351585242516349,46,0.2894120789478036
random_e8,20261328,0.27625,0,65.0,17.680000000000003,82.68,26,0.34465528241554244,24,0.24486464426861637
ghost_e8,20261328,0.355,1,57.5,22.71999999999999,180.22,23,0.33412220350399513,21,0.27803050230855936
ghost_d8,20261328,0.34,1,57.5,21.759999999999987,179.26,23,0.3270209829883404,21,0.27852322522536155
ghost_random,20261328,0.3325,1,50.0,21.27999999999999,171.27999999999997,20,0.3276497880821133,16,0.27731039476641123
static,20261429,0.965,1,0.0,61.76000000000004,161.76000000000005,0,0.6838766772742368,0,0.022851533808991315
single_rollback,20261429,0.2925,0,97.5,18.719999999999988,116.21999999999998,39,0.4192862422376345,38,0.26255148793751226
random_e8,20261429,0.30375,0,57.5,19.44,76.94,23,0.35442182363605823,21,0.26931920409159976
ghost_e8,20261429,0.2675,0,45.0,17.120000000000005,62.120000000000005,18,0.289381338530848,15,0.2409506108120529
ghost_d8,20261429,0.31625,1,60.0,20.24,180.24,24,0.3182374024112129,22,0.2656791061625945
ghost_random,20261429,0.33375,0,52.5,21.35999999999999,73.85999999999999,21,0.319841791468818,19,0.26834392978955124
static,20261530,0.97125,1,0.0,62.160000000000046,162.16000000000005,0,0.6857977879397487,0,0.02474785425210031
single_rollback,20261530,0.285,0,92.5,18.240000000000002,110.74000000000001,37,0.4198726471785008,36,0.2799588218086758
random_e8,20261530,0.305,0,70.0,19.52,89.52,28,0.37570799898295143,27,0.296092096131165
ghost_e8,20261530,0.36875,0,52.5,23.599999999999994,76.1,21,0.33736263032674735,18,0.29062536092875485
ghost_d8,20261530,0.3125,1,52.5,20.0,172.5,21,0.3004596286103857,19,0.25499383532410663
ghost_random,20261530,0.34,0,55.0,21.76,76.76,22,0.3171549398974778,20,0.2631217362765994
static,20261631,0.97875,1,0.0,62.64000000000004,162.64000000000004,0,0.6890588240679913,0,0.015876314852191896
single_rollback,20261631,0.29375,0,105.0,18.8,123.8,42,0.4239910941161667,41,0.27408279002009917
random_e8,20261631,0.28125,0,57.5,18.0,75.5,23,0.3604941128708251,21,0.26352239316636106
ghost_e8,20261631,0.30875,0,47.5,19.76,67.26,19,0.29673645248191816,17,0.25511972121708304
ghost_d8,20261631,0.30375,1,50.0,19.43999999999999,169.44,20,0.3019130066462198,18,0.24312470324379298
